Company name,OSIRIS Identification Number,count_records
BAGMATI DEVELOPMENT BANK LTD,NP11501,4
BAHRAIN COMMERCIAL FACILITIES COMPANY BSC,BH27934,3
BAHRAIN ISLAMIC BANK B.S.C.,BH32698,5
BAILLIE GIFFORD SHIN NIPPON PLC,GB45394,3
BAJAJ FINANCE LIMITED,IN11836,3
BAKER BOYER BANCORP,US20834,9
BAKER BOYER BANCORP,US68207,8
"BALLSTON SPA BANCORP, INC.",US89108,10
BANC OF CALIFORNIA INC,US23867,4
BANC OF CALIFORNIA INC,USA4B4B,16
BANCA CARIGE SPA,IT20517,5
BANCA CARIGE SPA,IT21498,5
BANCA COMERCIALA CARPATICA SA,RO16820,4
BANCA COMERCIALA CARPATICA SA,RO16884,1
BANCA DE ECONOMII A MOLDOVEI,MD42689,3
BANCA FINNAT EURAMERICA SPA,IT16150,5
BANCA FINNAT EURAMERICA SPA,IT16154,5
BANCA GENERALI SPA - GENERBANCA,IT19107,5
BANCA GENERALI SPA - GENERBANCA,IT40173,5
BANCA IFIS SPA,IT18554,4
BANCA IFIS SPA,IT18555,5
BANCA INTERMOBILIARE DI INVESTIMENTI E GESTIONI,IT46316,3
BANCA INTERMOBILIARE DI INVESTIMENTI E GESTIONI,IT46317,5
BANCA INTESA AD BEOGRAD,RS46134,5
BANCA ITALEASE SPA,IT43884,1
BANCA ITALEASE SPA,IT45898,4
BANCA MEDIOLANUM SPA,IT19956,5
BANCA MEDIOLANUM SPA,IT46983,5
BANCA MONTE DEI PASCHI DI SIENA SPA - GRUPPO MONTE DEI PASCHI DI SIENA,IT21411,5
BANCA MONTE DEI PASCHI DI SIENA SPA - GRUPPO MONTE DEI PASCHI DI SIENA,IT21413,5
BANCA PICCOLO CREDITO VALTELLINESE - CREDITO VALTELLINESE SOC COOP,IT20311,5
BANCA PICCOLO CREDITO VALTELLINESE - CREDITO VALTELLINESE SOC COOP,IT41128,5
BANCA POPOLARE COMMERCIO E INDUSTRIA SPA,IT45796,5
BANCA POPOLARE DELL'ETRURIA E DEL LAZIO SOC. COOP.,IT20339,4
BANCA POPOLARE DELL'ETRURIA E DEL LAZIO SOC. COOP.,IT41500,4
BANCA POPOLARE DI MILANO SCARL,IT20382,5
BANCA POPOLARE DI MILANO SCARL,IT21480,5
BANCA POPOLARE DI SONDRIO SOCIETA COOPERATIVA PER AZIONI,IT20396,5
BANCA POPOLARE DI SONDRIO SOCIETA COOPERATIVA PER AZIONI,IT45798,5
BANCA POPOLARE DI SPOLETO SPA,IT20397,4
BANCA PROFILO SPA,IT40527,5
BANCA PROFILO SPA,IT45816,5
BANCA SISTEMA SPA,IT15438,4
BANCA SISTEMA SPA,IT50147,4
BANCA SOCIALA SA,MD14623,3
BANCA SOCIALA SA,MD47125,4
"BANCAFFILIATED, INC.",US83547,5
BANCFIRST CORPORATION,US41997,16
BANCFIRST CORPORATION,USA0883,17
BANCFIRST OHIO CORP,US48007,2
BANCO ABC - BRASIL SA,BR46818,5
BANCO ABC - BRASIL SA,BRAF50C,12
BANCO AGRICOLA,SV43416,5
BANCO AGRICOLA,SVACA15,14
BANCO ALFA DE INVESTIMENTO S.A.,BR35873,3
BANCO AMAZONAS SA,EC35715,5
BANCO ATLANTIDA S.A.,HN19538,3
BANCO ATLANTIDA S.A.,HN30415,6
BANCO ATLANTIDA S.A.,HNAFABE,17
BANCO ATLAS SA,PY13660,3
BANCO AZTECA DEL PERU SA,PE53121,3
BANCO BARCLAYS SA,BR44863,2
BANCO BARCLAYS SA,BR53719,5
BANCO BICE,CL47286,5
BANCO BICE,CLA51F6,3
BANCO BILBAO VIZCAYA ARGENTARIA CHILE,CL45443,3
BANCO BILBAO VIZCAYA ARGENTARIA CHILE,CLA1C17,5
BANCO BILBAO VIZCAYA ARGENTARIA SA,ES22628,5
BANCO BILBAO VIZCAYA ARGENTARIA SA,ES22629,3
BANCO BILBAO VIZCAYA ARGENTARIA SA,ESA0492,17
BANCO BISA SA,BO33139,3
BANCO BOLIVARIANO CA,EC33048,5
BANCO BOLIVARIANO CA,ECB00DC,15
BANCO BPI SA,PT45638,5
BANCO BPI SA,PT45639,5
BANCO BPM SPA,IT57953,1
BANCO BRADESCO SA,BR32034,5
BANCO BRADESCO SA,BRA4F0D,16
BANCO BTG PACTUAL SA,BR44519,5
