Company name,WVB No,OSIRIS Identification Number,count_records,min_date,max_date
ATLANTIC COAST FINANCIAL CORPORATION,67494NU,US20943,1,2015-12-31,2015-12-31
ATLANTIC COAST FINANCIAL CORPORATION,67494NU,US60254,3,2012-12-31,2014-12-31
ATLANTIC COAST FINANCIAL CORPORATION,67494NU,USAA044,16,2001-12-31,2016-12-31
"ATLANTIC SOUTHERN FINANCIAL GROUP, INC.",40924NU,US71500,6,2005-12-31,2010-12-31
"ATLANTIC SOUTHERN FINANCIAL GROUP, INC.",40924NU,USAEDDD,7,2003-12-31,2009-12-31
ATLAS BANK AD PODGORICA,4000700.0,ME23969,5,2011-12-31,2015-12-31
ATTICA BANK SA - BANK OF ATTICA SA,30014EG,GR20006,5,2011-12-31,2015-12-31
ATTIJARI BANK,30010KU,TN32280,5,2011-12-31,2015-12-31
ATTIJARI LEASING,30044KU,TN19721,5,2011-12-31,2015-12-31
ATTIJARIWAFA BANK,30003KM,MA30475,5,2011-12-31,2015-12-31
"AUBURN BANCORP, MHC",US262139168,US83512,4,2012-12-31,2015-12-31
"AUBURN NATIONAL BANCORPORATION, INC.",37057NU,US68199,16,2000-12-31,2015-12-31
"AUBURN NATIONAL BANCORPORATION, INC.",37057NU,USA15C1,16,2000-12-31,2015-12-31
AURSKOG SPAREBANK,40195SN,NO27371,5,2011-12-31,2015-12-31
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30013AA,AU30962,6,2011-09-30,2016-09-30
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30013AA,AUA1AE6,17,2000-09-30,2016-09-30
AUSWIDE BANK LTD,31290AA,AU40082,6,2011-06-30,2016-06-30
AUTOBANK AG,40049EA,AT19826,11,2005-12-31,2015-12-31
AUTOBANK AG,40049EA,AT49426,5,2011-12-31,2015-12-31
AVANZA BANK HOLDING AB,30007SS,SE40702,5,2011-12-31,2015-12-31
"AVENUE FINANCIAL HOLDINGS, INC",66034NU,US20611,4,2011-12-31,2014-12-31
"AVENUE FINANCIAL HOLDINGS, INC",66034NU,US91249,5,2007-12-31,2015-12-31
"AVENUE FINANCIAL HOLDINGS, INC",66034NU,USF3F55,7,2009-12-31,2015-12-31
AVIDBANK,US743076352,US71440,14,2003-12-31,2016-12-31
"AVIDBANK HOLDINGS, INC.",US261731009,US83451,8,2008-12-31,2015-12-31
AXA BANQUE,FR542016993,FR10759,5,2011-12-31,2015-12-31
AXIS BANK LIMITED,30769FI,IN42668,5,2012-03-31,2016-03-31
AXIS DEVELOPMENT BANK LIMITED,30236FB,NP54304,2,2012-07-15,2013-07-15
AZIMUT HOLDING SPA,30277EI,IT28955,5,2011-12-31,2015-12-31
B.L.C. BANK S.A.L,30011GL,LB45900,5,2011-12-31,2015-12-31
B2B TRUST,31856NC,CA54219,12,2000-10-31,2011-10-31
BAADER BANK AG,30096ED,DE47958,5,2011-12-31,2015-12-31
BAADER BANK AG,30096ED,DE48642,1,2015-12-31,2015-12-31
BABYLON BANK,30061GI,IQ51590,4,2011-12-31,2014-12-31
BAGMATI DEVELOPMENT BANK LTD,30208FB,NP11501,4,2012-07-15,2015-07-16
BAHRAIN COMMERCIAL FACILITIES COMPANY BSC,30021GB,BH27934,3,2013-12-31,2015-12-31
BAHRAIN ISLAMIC BANK B.S.C.,30046GB,BH32698,5,2011-12-31,2015-12-31
BAILLIE GIFFORD SHIN NIPPON PLC,95346EX,GB45394,3,2014-01-31,2016-01-31
BAJAJ FINANCE LIMITED,30676FI,IN11836,3,2014-03-31,2016-03-31
BAKER BOYER BANCORP,42269NU,US20834,9,2006-12-31,2016-12-31
BAKER BOYER BANCORP,42269NU,US68207,8,2000-12-31,2014-12-31
"BALLSTON SPA BANCORP, INC.",US742245601,US89108,10,2006-12-31,2015-12-31
BANC OF CALIFORNIA INC,37172NU,US23867,4,2012-12-31,2015-12-31
BANC OF CALIFORNIA INC,37172NU,USA4B4B,16,2000-12-31,2015-12-31
BANCA CARIGE SPA,30064EI,IT20517,5,2011-12-31,2015-12-31
BANCA CARIGE SPA,30064EI,IT21498,5,2011-12-31,2015-12-31
BANCA COMERCIALA CARPATICA SA,40088ER,RO16820,4,2011-12-31,2014-12-31
BANCA COMERCIALA CARPATICA SA,40088ER,RO16884,1,2015-12-31,2015-12-31
BANCA DE ECONOMII A MOLDOVEI,40001OM,MD42689,3,2012-12-31,2014-12-31
BANCA FINNAT EURAMERICA SPA,30312EI,IT16150,5,2011-12-31,2015-12-31
BANCA FINNAT EURAMERICA SPA,30312EI,IT16154,5,2011-12-31,2015-12-31
BANCA GENERALI SPA - GENERBANCA,30346EI,IT19107,5,2011-12-31,2015-12-31
BANCA GENERALI SPA - GENERBANCA,30346EI,IT40173,5,2011-12-31,2015-12-31
BANCA IFIS SPA,30299EI,IT18554,4,2012-12-31,2015-12-31
BANCA IFIS SPA,30299EI,IT18555,5,2011-12-31,2015-12-31
BANCA INTERMOBILIARE DI INVESTIMENTI E GESTIONI,30169EI,IT46316,3,2011-12-31,2015-12-31
BANCA INTERMOBILIARE DI INVESTIMENTI E GESTIONI,30169EI,IT46317,5,2011-12-31,2015-12-31
BANCA INTESA AD BEOGRAD,RS07759231,RS46134,5,2011-12-31,2015-12-31
BANCA ITALEASE SPA,30300EI,IT43884,1,2013-12-31,2013-12-31
BANCA ITALEASE SPA,30300EI,IT45898,4,2011-12-31,2014-12-31
BANCA MEDIOLANUM SPA,30718EI,IT19956,5,2011-12-31,2015-12-31
BANCA MEDIOLANUM SPA,30718EI,IT46983,5,2011-12-31,2015-12-31
BANCA MONTE DEI PASCHI DI SIENA SPA - GRUPPO MONTE DEI PASCHI DI SIENA,30040EI,IT21411,5,2011-12-31,2015-12-31
BANCA MONTE DEI PASCHI DI SIENA SPA - GRUPPO MONTE DEI PASCHI DI SIENA,30040EI,IT21413,5,2011-12-31,2015-12-31
BANCA PICCOLO CREDITO VALTELLINESE - CREDITO VALTELLINESE SOC COOP,30275EI,IT20311,5,2011-12-31,2015-12-31
BANCA PICCOLO CREDITO VALTELLINESE - CREDITO VALTELLINESE SOC COOP,30275EI,IT41128,5,2011-12-31,2015-12-31
BANCA POPOLARE COMMERCIO E INDUSTRIA SPA,IT03910420961,IT45796,5,2011-12-31,2015-12-31
BANCA POPOLARE DELL'ETRURIA E DEL LAZIO SOC. COOP.,IT00367210515,IT20339,4,2011-12-31,2015-12-31
BANCA POPOLARE DELL'ETRURIA E DEL LAZIO SOC. COOP.,IT00367210515,IT41500,4,2011-12-31,2015-12-31
BANCA POPOLARE DI MILANO SCARL,30033EI,IT20382,5,2011-12-31,2015-12-31
BANCA POPOLARE DI MILANO SCARL,30033EI,IT21480,5,2011-12-31,2015-12-31
BANCA POPOLARE DI SONDRIO SOCIETA COOPERATIVA PER AZIONI,30099EI,IT20396,5,2011-12-31,2015-12-31
BANCA POPOLARE DI SONDRIO SOCIETA COOPERATIVA PER AZIONI,30099EI,IT45798,5,2011-12-31,2015-12-31
BANCA POPOLARE DI SPOLETO SPA,30323EI,IT20397,4,2011-12-31,2015-12-31
BANCA PROFILO SPA,30328EI,IT40527,5,2011-12-31,2015-12-31
BANCA PROFILO SPA,30328EI,IT45816,5,2011-12-31,2015-12-31
BANCA SISTEMA SPA,IT12870770158,IT15438,4,2012-12-31,2015-12-31
BANCA SISTEMA SPA,IT12870770158,IT50147,4,2012-12-31,2015-12-31
BANCA SOCIALA SA,40002OM,MD14623,3,2012-12-31,2014-12-31
BANCA SOCIALA SA,40002OM,MD47125,4,2011-12-31,2014-12-31
"BANCAFFILIATED, INC.",US752926393,US83547,5,2012-12-31,2016-12-31
BANCFIRST CORPORATION,37188NU,US41997,16,2000-12-31,2015-12-31
BANCFIRST CORPORATION,37188NU,USA0883,17,2000-12-31,2016-12-31
BANCFIRST OHIO CORP,US311294136,US48007,2,2000-12-31,2001-12-31
BANCO ABC - BRASIL SA,31204LB,BR46818,5,2011-12-31,2015-12-31
BANCO ABC - BRASIL SA,31204LB,BRAF50C,12,2005-12-31,2016-12-31
BANCO AGRICOLA,30003LS,SV43416,5,2011-12-31,2015-12-31
BANCO AGRICOLA,30003LS,SVACA15,14,2002-12-31,2015-12-31
BANCO ALFA DE INVESTIMENTO S.A.,30175LB,BR35873,3,2011-12-31,2015-12-31
BANCO AMAZONAS SA,30033LE,EC35715,5,2011-12-31,2015-12-31
BANCO ATLANTIDA S.A.,30010LH,HN19538,3,2013-12-31,2015-12-31
BANCO ATLANTIDA S.A.,30010LH,HN30415,6,2010-12-31,2015-12-31
BANCO ATLANTIDA S.A.,30010LH,HNAFABE,17,2000-12-31,2016-12-31
BANCO ATLAS SA,PY80024928-3,PY13660,3,2013-12-31,2015-12-31
BANCO AZTECA DEL PERU SA,30305LP,PE53121,3,2013-12-31,2015-12-31
BANCO BARCLAYS SA,BR61146577000109,BR44863,2,2014-12-31,2015-12-31
BANCO BARCLAYS SA,BR61146577000109,BR53719,5,2011-12-31,2015-12-31
BANCO BICE,30213LC,CL47286,5,2011-12-31,2015-12-31
BANCO BICE,30213LC,CLA51F6,3,2000-12-31,2002-12-31
BANCO BILBAO VIZCAYA ARGENTARIA CHILE,30031LC,CL45443,3,2013-12-31,2015-12-31
BANCO BILBAO VIZCAYA ARGENTARIA CHILE,30031LC,CLA1C17,5,2000-12-31,2004-12-31
BANCO BILBAO VIZCAYA ARGENTARIA SA,30081EE,ES22628,5,2011-12-31,2015-12-31
BANCO BILBAO VIZCAYA ARGENTARIA SA,30081EE,ES22629,3,2013-12-31,2015-12-31
BANCO BILBAO VIZCAYA ARGENTARIA SA,30081EE,ESA0492,17,2000-12-31,2016-12-31
BANCO BISA SA,30004LO,BO33139,3,2013-12-31,2015-12-31
BANCO BOLIVARIANO CA,30006LE,EC33048,5,2011-12-31,2015-12-31
BANCO BOLIVARIANO CA,30006LE,ECB00DC,15,2002-12-31,2016-12-31
BANCO BPI SA,30048EP,PT45638,5,2011-12-31,2015-12-31
BANCO BPI SA,30048EP,PT45639,5,2011-12-31,2015-12-31
BANCO BPM SPA,IT09722490969,IT57953,1,2015-12-31,2015-12-31
BANCO BRADESCO SA,30010LB,BR32034,5,2011-12-31,2015-12-31
BANCO BRADESCO SA,30010LB,BRA4F0D,16,2000-12-31,2015-12-31
BANCO BTG PACTUAL SA,31429LB,BR44519,5,2011-12-31,2015-12-31
